Title,Released Year,Rating,Genres,Length,Certification,Directors,Writers,Stars
Able Edwards,2004,5.4,"Sci-Fi,Drama",1h 27m,,Graham Robertson,,"Steve Beaumont Jones,Michael Shamus Wiles,Scott Kelly Galbreath"
How to Time Travel,2016,5.5,"Comedy,Drama,Sci-Fi",1h 31m,,Samuel Sheffield,,"Tarah Carey,Adam Balales,Ryan A. Murphy"
Toxic,2020,5.4,"Drama,Sci-Fi",1h 20m,,Ariel Martínez Herrera,"Ariel Martínez Herrera,Lautaro Núñez de Arco,Santiago La Rosa","Jazmín Stuart,Victoria Cabada,Agustín Rittano"
The Parts,2013,6.7,"Drama,Mystery,Sci-Fi",1h 30m,,Nikoloz Javakhishvili,"Nikoloz Javakhishvili,Nino Kelauridze","Marina Janashia,Giorgi Kalandadze,Giorgi Gurgulia"
The Can,1994,7.8,Sci-Fi,1h 10m,,David Schendel,,"Ross Kinney,Eldon Hagen,Brent David Fraser"
Starfighters,1992,3.7,"Action,Adventure,Sci-Fi",1h 30m,,"Fabián Arnaud,Rodolfo Lopezreal","Antonio Peña,Gloria Mayo,Ramón T. Cerro","El Volador,Gloria Mayo,El Misterioso"
Radiant,2005,5.5,"Drama,Sci-Fi",1h 40m,,Steve Mahone,,"James Cable,Sandy Fish,Jim Covault"
The Gulf of Silence,2020,4.6,Sci-Fi,1h 25m,,Mina Rhodes,,"Mandy May Cheetham,Richard Nixon,Donald E. Keyhoe"
Nova,2013,6.2,"Adventure,Drama,Sci-Fi",1h,,"Ezequiel Romero,Bruno Teixidor","Ezequiel Romero,Bruno Teixidor","Ezequiel Romero,Jerónimo Salas,Mireia Clavero"
Comisery,2020,4.5,"Comedy,Sci-Fi",1h 16m,,"Adisakdi Tantimedh,Quentin Lee","Adisakdi Tantimedh,Quentin Lee","R.K. Anderson,Jennifer Field,Verton R. Banks"
Sirens of the 23rd Century,2003,5.6,"Fantasy,Sci-Fi",1h 26m,,Jennifer M. Kroot,,"Felecia Faulkner,Paul D'Addario,Rod Chaouqi"
Besuch bei Van Gogh,1985,6.1,"Adventure,Fantasy,Sci-Fi",1h 41m,,Horst Seemann,"Heinz Kahlau,Christel Gräf,Sever Gansovsky","Käthe Reichel,Christian Grashof,Grazyna Szapolowska"
N.P.,1971,6.5,"Drama,Sci-Fi",1h 35m,,Silvano Agosti,"Italo Moscati,Silvano Agosti,Lucia Trevisante","Francisco Rabal,Irene Papas,Edy Biagetti"
Armored Trooper VOTOMS: Case;Irvine,2010,6.1,"Animation,Action,Sci-Fi",50m , TV-MA,Shisho Igarashi,"Takuya Satô,Hajime Yatate,Ryôsuke Takahashi",
Goofus & Doofus,2023,,"Animation,Adventure,Comedy",1h 39m,,Vishal Hari,,"Brian,Alan,Paul"
After the Flames: An Apocalypse Anthology,2020,5.3,"Adventure,Horror,Sci-Fi",1h 23m,,Darrell Wynter Hoppson,,"Eden Clarke,Abby Price,Emily Dawson"
Last Breach,2018,7.8,"Action,Drama,Sci-Fi","Last Breach: Directed by Christos Filippou. With Tasos Andreadis, Tasos Antonaridis, Konstantinos Babilas, Andriana Davidopoulou. Aliens have invaded Earth. After months of conflict, they reach the northern border of Greece, wiping cities and villages in their passage. Will a young man's courage be enough to overturn the inevitable to the technological superiority of a superior race?",,Christos Filippou,,"Tasos Antonaridis,Konstantinos Babilas,Tasos Andreadis"
Runway Part Two,2023,,Sci-Fi,1h,,Akal Demir,,"Ron Arthurs,Philippe Auguste,Bella Barker"
The Age of Genesis,2020,,Sci-Fi,2h 11m,,"Günther Brandl,Helmut Brandl","Günther Brandl,Helmut Brandl","Monika Brandl,Claudia Lorenz,Peter Eherer"
The Noble Experiment,1955,5.6,"Comedy,Sci-Fi","The Noble Experiment: Directed by Tom Graeff. With Tom Graeff, Phyllis Robinson. An amateur biochemist, successful with a chemical 'get-along pill' for his mother-in-law, pours a barrel full of the concoction into the city water supply.",,Tom Graeff,,"Tom Graeff,Phyllis Robinson"
Delirium,2015,6.5,"Drama,Horror,Sci-Fi",1h 19m,,Cosmotropia de Xam,,"Shivabel Coeurnoir,Marcus Littwin,Feng Lingling"
El Expediente Atlimeyaya,2018,4.5,Sci-Fi,"El Expediente Atlimeyaya: Directed by Hugo Vivar. With Viko Carpinteyro, José Ramón Coronado, Natalia Frausto, Aleyda Gallardo. At the time of the 90's two brothers usually visit the OVNI sightings area in the town of Atlimeyaya in Atlixco, Puebla Mexico. By means of a regression, they discover that they were abducted.",,Hugo Vivar,,"José Ramón Coronado,Natalia Frausto,Viko Carpinteyro"
The Participants,2015,,"Drama,Sci-Fi",1h 14m,,Paul Rowley,"Paul Rowley,Tim Blue","Anton Giltrap,Jack Gavin"
Intersection,2024,,Sci-Fi,"Intersection: Directed by Adam Nowak. With Sebastian Cybulski, Agnieszka Kawiorska, Tomasz Sobczak, Amelia Zuchowska. Amadeus loses his beloved daughter. A personal tragedy coincides with a job loss. Desperate, takes part in the secret project and test the unknown ""Intersection"" technology. He soon realizes that he was chosen for this task not by chance.",,Adam Nowak,"Marek Nowak,Adam Nowak","Sebastian Cybulski,Agnieszka Kawiorska,Tomasz Sobczak"
Joel D. Wynkoop's the Craiglon Incident,2021,7.8,Sci-Fi,2h,,Joel D. Wynkoop,,"Brooks Bailey,Thomas Antalek,Ken Anthony II"
Zhong shen da shi,1981,7.4,Sci-Fi,1h 40m,,King Hu,,"Chia-Fen Liu,Wei Tao,Sibelle Hu"
World War Mud,1982,,"Action,Horror,Sci-Fi",55m , Unrated,Tasciotti,"Keith Grimes,Tasciotti","Keith Grimes,John Foroglou,Tasciotti"
The Archive,2015,,"Drama,Mystery,Romance",1h 15m,,Ethan Spigland,"Ethan Spigland,Andrew Nahem","Josh Mendelow,Paolo Pagliacolo,Ana Asensio"
This Is Why We Fight,2013,6.2,"Drama,Sci-Fi",1h 39m,,Madison Thomas,,"Warren Ellis,Erik Athavale,Jennifer Rose Garcia"
Dark Prism,2015,4.0,"Comedy,Fantasy,Horror",1h 46m,,Dylan Mars Greenberg,"Stephanie Domini,Dylan Mars Greenberg,Pailer Ezra","Sofe Cote,Sara Kaiser,Chandani Smith"
Gene-Fusion,2011,3.8,"Animation,Sci-Fi",1h 18m , PG,François Brisson,"Gabriel Benson,Jeff Amano","Mark Hauser,Kaniehtiio Horn,Nicolas Canuel"
Not Another Monster Movie,2019,6.3,"Comedy,Sci-Fi","Not Another Monster Movie: Directed by Tyler Cheman. With Luke Aitchison, Renee Ashley, Sienna Berkheiser, Mark Bogumil. A one-timed famed horror director loses the funding of his production studio; and goes to drastic measures to complete his saga on Halloween night. Evil is unleashed after reading from a cursed book while searching for props to complete their film.",,Tyler Cheman,,"Renee Ashley,Sienna Berkheiser,Luke Aitchison"
Supercells,2014,,"Action,Fantasy,Sci-Fi",1h 5m,,G.M. Whiting,,"Landen James,Brock Brazda,Nathaniel Anderson"
Yesterday Last Year,2017,5.1,"Drama,Sci-Fi",1h 16m,,Jeffrey Hanley,,"Scott Walker,Adam Bradley,Amelia Mathews"
Sentinel 2099,1995,5.3,"Action,Sci-Fi,Adventure",1h 15m , PG-13,Michael McGee,,"Sam Bishop,Daniel Duff,Chris Carlson"
Blue Fire,2023,,"Drama,Mystery,Sci-Fi",1h 30m,,Antero Alli,,"Andrew Gurevich,Kasia Caravello,Douglas Allen"
Tuesday Never Comes,2019,3.2,Sci-Fi,1h 30m,,Jason Hawkins,,"Sara Elizabeth Jones,Myriam Baillargeon,Steve Larkin"
Huo xing ren,1976,4.9,"Fantasy,Sci-Fi",1h 22m,,Hung-Min Chen,,"Bao-Yu Wang,Hsiao-Hsuan Lu,Chiang-Lung Wen"
The Kryptonian Epic,2021,,"Animation,Action,Crime","The Kryptonian Epic: A free massive hybrid film of musical segments, animated action, and second person narration, The Kryptonian Epic details the entire life of the DC Landisverse that began all the way back with Superman: American Alien. Clark Kent navigates his way through the rise of superheroes and villains as he dawns the mantle of Superman, all the while forming friendships and making enemies with the likes of Pete Ross, Lois Lane, Jimmy Olsen, Green Arrow, Aquaman, The Riddler, Batman, Lex Luthor, Wonder Woman, The Flash, Robin, and more. This sweeping story takes us from the early days on the distant planet of Krypton, to the depths of the sea with Aquaman, to the alleys of Gotham with The Batman and The Joker, all the while, something deeper connects everything - something ancient.",,,"Bill Finger,Joe Shuster,Bob Kane",
"Go, Stop, Murder",2013,5.8,"Drama,Fantasy,Sci-Fi",1h 40m,,Joon Kwon Kim,,"Kim Hong-pa,Jisung,Nam-hee Kwon"
Six God Combination God Mars: The Movie,1982,6.3,"Animation,Action,Sci-Fi",1h 35m,,Tetsuo Imazawa,"Mitsuteru Yokoyama,Keisuke Fujikawa,Hiroyuki Onoda","Kinryû Arimoto,Takeshi Aono,Michiko Hirai"
Biopsy Shake,2005,,Sci-Fi,"Biopsy Shake: Directed by Conor Slattery. With Nathan Slattery, Günther Berkus, John Brett, Padraig Sexton.",,Conor Slattery,,"Nathan Slattery,Günther Berkus,John Brett"
Amsteroid,2018,6.9,Sci-Fi,1h 38m,,John Higbie,,"Mike Ancrile,David Beaulieu,Canton Belanger"
Klop 75 ili Mayakovskiy smeyotsya,1976,6.4,"Animation,Comedy,Music",1h 27m,,"Sergei Yutkevich,Anatoliy Karanovich","Sergei Yutkevich,Vladimir Mayakovsky,Anatoliy Karanovich","Leonid Bronevoy,Iya Savvina,Galina Volchek"
Zoink,2017,6.5,"Comedy,Family,Sci-Fi","Zoink: Directed by Lolo Loren, Patrick Poe. With Artem Bagdasaryan, Richard J. Burt, Coleman Crenshaw, Ellen Deshon. There's something not quite right about Tommy's little brother Tyler, but no one else seems to see it. When Tommy's parents leave him and his brother alone with a babysitter for the weekend, Tommy must call on the help of his best friend Sam to thwart the evil lurking in his house and save the world.",,"Patrick Poe,Lolo Loren","Patrick Poe,Lolo Loren","Richard J. Burt,Coleman Crenshaw,Artem Bagdasaryan"
Suparna,2020,4.6,"Action,Drama,Sci-Fi",1h 41m,,Sujeewa Priyalal,,"Dinakshie Priyasad,Ashan Dias,Duleeka Marapana"
Dreamscape,2011,6.3,Sci-Fi,"Dreamscape: Directed by Curt Anderson. With Sophie Bolen, Samantha Berends, Ethan Knoth, Joe Deal. 1,000 years ago Earth was visited by an alien race from another dimension, the Grays, who used their technology to mix human and alien DNA to create a superior race, the Hybrids. The Grays, feeling they had accomplished their goals, took a group of Hybrids back to their dimension and left the rest on Earth. The Hybrids quickly turned on their creators and took over their dimension. Fearing for the humans, the Grays returned to Earth and deactivated the Hybrids, allowing them to live as part of the human race unaware of what they truly were. To prevent the Hybrids from crossing over into the human universe to reactivate the Hybrids left behind, the Grays recruit a team of human spiritual warriors to stand between the Hybrids and Earth.",,Curt Anderson,,"Ethan Knoth,Sophie Bolen,Samantha Berends"
Fear Lives Here,2012,3.6,"Horror,Sci-Fi,Thriller",1h 20m , Not Rated,Michael Gordon,"Ben Hernandez Bray,Michael Gordon,Tina Sen Gordon","Paul Darrigo,Lance J. Holt,Zack Gold"
Tryumf pana Kleksa,2001,4.8,"Adventure,Animation,Family",1h 12m,,Krzysztof Gradowski,"Krzysztof Gradowski,Jan Brzechwa,Wojciech Karpiuk","Zbigniew Buczkowski,Jaroslaw Jakimowicz,Jerzy Bonczak"
The Remake,2023,,"Action,Adventure,Comedy",2h 59m , Unrated,Myles Byrne-Dunhill,,
Memory Transfer,2015,6.9,"Adventure,Sci-Fi,Thriller",1h 20m,,Michael Moeh,,"Andy Aquino,Laur Allen,Brian Bedell"
The Tutor II: League of Kings,2018,,"Action,Adventure,Fantasy",1h 26m,,Tianji Yan,,"Tian Ge,Steven Dasz,Meng Bao Bao"
The Prayer,2020,6.5,Sci-Fi,1h 19m,,Kyu-dong Min,"Kim Ji-Hee,Kyu-dong Min,Hyejin Kim","Soo-jung Ye,Yoo-Young Lee,Yeom Hye-ran"
Dagko na Tawo,2018,,"Drama,Horror,Mystery",5h 20m,,Cameron B. Smith,,"Christopher O'Neal,Karsu Nalbantoglu,Cameron B. Smith"
Screaming Flowers,2021,,"Sci-Fi,Thriller","Screaming Flowers: Directed by Christopher Long. With Hanna Gaffney, Madison Hodges, Marc Lubbers, Lyndsey Bentham. When a woman is transferred to a maximum-security wing for evaluations, she warns the doctor by telling an unbelievable story about a mysterious time traveler who kills people from a list of names to prevent the extinction of humanity.",,Christopher Long,,"Marc Lubbers,Hanna Gaffney,Madison Hodges"
B.C.,2013,3.8,"Horror,Sci-Fi",1h 30m , PG-13,Ben Trimp,"Rocky Burnswork,Ryan Joint","Patrick Bradford,Lily Chun,Mark Banning"
The Power God,1925,6.0,"Action,Adventure,Sci-Fi",5h,,"Ben F. Wilson,Francis Ford","Rex Taylor,George W. Pyper,Harry Haven","Ben F. Wilson,Neva Gerber,Lafe McKee"
The Tag Conspiracy,2021,6.2,Sci-Fi,2h 16m,,Brett William Mauser,,"Nicole Mattox,Carlos Leos,Tye A. Fish"
Agrinai,2024,,"Horror,Sci-Fi,Thriller","Agrinai: Directed by Thanesh Perrabu, Kohgulan. With Perrabu Viknesh, Aghonderan Sahadevan, Akshninder Singh Maghanian, Vimal.",,"Kohgulan,Thanesh Perrabu","Kohgulan,Thanesh Perrabu","Perrabu Viknesh,Akshninder Singh Maghanian,Aghonderan Sahadevan"
Edges,2019,,"Drama,Sci-Fi","Edges: Directed by James Durham. With Nina Fowler, Jimmy Bacon, Dean Martin Mountaki, Megan Caulfield. EDGES THE FAMILIAR tells the moving story of a small group of strangers suffering from loss and heartache as they are inexplicably drawn together in a phenomenon of shared consciousness. As the events unfold, they are challenged to confront everything they know about love, acceptance, grief, healing and forgiveness, so they can learn how to save each other and themselves.",,James Durham,,"Jimmy Bacon,Dean Martin Mountaki,Nina Fowler"
Galis: Connect,2016,6.8,"Comedy,Sci-Fi",1h 36m,,Asaf Korman,,"Efrat Aviv,Daniel Gad,Daniel Moreshet"
Demonia Undertaker,2017,3.3,"Action,Adventure,Drama",1h 20m , Not Rated,Geovanni Molina,,"Lisa Arcaro,Geovanni Molina,Jay Dathaeus Lee"
The Founder,2012,6.0,"Comedy,Sci-Fi",1h 48m,,Eric Dean Hordes,,"Santiago Ziesmer,Helmut Krauss,Vera Göpfert"
Flashback,2011,3.1,"Adventure,Comedy,Romance",1h 40m , Not Rated,Brendan Jackson Rogers,"Brendan Jackson Rogers,Will Phillips","Alexa Cappiello,Andrew Ramos,Will Phillips"
Nowhere Nevada,2013,6.8,"Comedy,Crime,Drama",1h 40m,,David Richards,"Marianne Psota,David Richards","Mary Bennett,Jef Derderian,Liz Cole"
Singapur,2023,,Sci-Fi,"Singapur: Directed by Gustavo Postiglione. With Julieta Cardinali, Tito Gómez, Juan Nemironsky, Jean Pierre Noher.",,Gustavo Postiglione,,"Tito Gómez,Julieta Cardinali,Juan Nemironsky"
"12 Minds, A Star Trek Fan Film",2014,,"Drama,Sci-Fi",1h 17m,,Jan Kratky,"Reginald Rose,Jan Kratky","Vladimir Novotny,Miro Miksik,Radek Belina"
I Know the End,2026,,"Drama,Romance,Sci-Fi","IMDb is the world's most popular and authoritative source for movie, TV and celebrity content. Find ratings and reviews for the newest movie and TV shows. Get personalized recommendations, and learn where to watch across hundreds of streaming providers.",,,,
Fragmentos de Olvido,2023,,"Mystery,Sci-Fi,Thriller",1h 34m,,Rubén Villa,"Víctor Cornejo,Rubén Villa","Ili Huerta,María Aura,Esteban Monroy"
City of Angels,2017,,"Action,Drama,Horror",1h 54m,,Anthony Jones,,"William Conklin,Tori Clark,Mitch Brauer"
The Ghost of Saint Aubin,2011,4.4,"Crime,Drama,Sci-Fi",1h 20m,,Alan Bradley,,"Joel Steingold,Alan Bradley,Ashlee Marie McLemore"
Stellar Quasar and the Scrolls of Dadelia,2016,4.0,Sci-Fi,"Stellar Quasar and the Scrolls of Dadelia: Directed by A. Susan Svehla. With Veronica Carlson, Ponch Fenwick, Matthew Harding, Louanna Lee. Captain Stellar Quasar and the crew of the Aticus Lem agree to transport a passenger on a mysterious quest into the forbidding Uncharted Quadrant. But the strange UQ is not the only danger the crew will meet. They have to avoid a repo ship, the all-powerful Corporation, the crazed cult leader Zoltan, and the ruthless God Squad, all out to beat the Aticus Lem to the UQ and the Scrolls of Dadelia.",,A. Susan Svehla,,"Matthew Harding,Ponch Fenwick,Veronica Carlson"
A Foundling,2010,7.4,"Sci-Fi,Western",1h 30m , Not Rated,Carly Lyn,,"Nora J. Novak,Cindy Chiu,Tim Chiou"
Lockdown: Red Moon Escape,2012,6.8,"Action,Drama,Horror",1h,,"Mohammed Alibrahim,Ahmed Al Baker","Mohammed Alibrahim,Ahmed Al Baker","Mishal Al Dosari,Mahmood Al Mahmood,Mariam Al Essa"
Pal-Bot 2,2020,,Sci-Fi,"Pal-Bot 2: Directed by Robert Meglio. With Jeremy Kerr, Mike Elwell, Josh Lopez, Phil Toran.",,Robert Meglio,,"Jeremy Kerr,Mike Elwell,Josh Lopez"
Bellri Advances,2020,6.8,"Animation,Action,Adventure",1h 35m,,Yoshiyuki Tomino,,"Mark Ishii,Yû Shimamura"
Gekijôban G No Reconguista IV: Gekitô ni sakebu ai,2022,7.6,"Animation,Action,Adventure",1h 41m,,Yoshiyuki Tomino,"Yoshiyuki Tomino,Hajime Yatate",
The Place Where the Last Man Died,2010,6.3,"Drama,Horror,Sci-Fi",1h 26m,,Ivan Peric,,"Mirko Gabelica,Marko Kapitanovic,Dragan Kovacevic"
The Avenging Spider-Man,2015,6.3,"Action,Sci-Fi,Thriller",48m , Not Rated,Cameron Dodd,"Steve Ditko,Stan Lee,Cameron Dodd","Greg Campbell,Kosta Stylianou,Hussein Mohamed"
The Visit,2021,,Sci-Fi,"The Visit: Directed by Mehdi Norowzian. With Marjan Ettefaghian, Bita Farahi, Abbas Ghazali, Babak Hamidian.",,Mehdi Norowzian,"Mehdi Norowzian,Sepideh Ghorbani,Ali Asghari","Abbas Ghazali,Marjan Ettefaghian,Bita Farahi"
La hora incógnita,1964,6.6,"Drama,Sci-Fi",1h 40m,,Mariano Ozores,,"Emma Penella,Antonio Ozores,José Luis Ozores"
The Man of Ganimedes,1976,4.7,Sci-Fi,1h 35m,,Juan Carlos Olaria,"Juan Xiol,Juan Carlos Olaria","Richard Kolin,Juan Olaria,Lynn Endersson"
Inoplanetyanka,1985,5.3,"Comedy,Sci-Fi",1h 24m,,Yakov Segel,"Yakov Segel,Iosif Olshansky","Lyudmila Shagalova,Vladimir Nosik,Liliya Aleshnikova"
Collision Moon,2021,7.8,Sci-Fi,Collision Moon: Directed by Brian Nowak. With Chris Boudreaux.,,Brian Nowak,,
Space Police,2004,6.9,"Adventure,Sci-Fi",1h 15m,,Kazushi Watanabe,,"Nana Eikura,Daisuke Hirose,Yôsuke Asari"
L'inceneritore,1984,5.6,"Mystery,Sci-Fi",1h 30m,,Pier Francesco Boscaro dagli Ambrosi,,"Ida Di Benedetto,Flavio Bucci,Alexandra Delli Colli"
Cerulean,2017,,Sci-Fi,"Cerulean: Directed by Eric Stafford. With David Genat, Paul C. Kelly, Phoebe L Dunn, Amilcar Javier. A woman finds out her life isn't her own. How will she take it back and who will she become?",,Eric Stafford,"Eric Stafford,Maggie Hinton","David Genat,Paul C. Kelly,Phoebe L Dunn"
Inseguito,2002,8.5,"Sci-Fi,Thriller",1h 37m,,Luca Guardabascio,,"Andoni Aresti Landa,Irene Aiello,Nanni Candelari"
Le scaphandrier,2015,4.5,"Adventure,Horror,Sci-Fi",1h 18m,,Alain Vézina,,"Raymond Bouchard,Alexandre Landry,Édith Côté-Demers"
Rubicon,2004,5.1,"Animation,Sci-Fi",1h 22m,,Simon Tarr,,
Superman,1973,6.5,"Action,Adventure,Sci-Fi",1h 44m,,,"Robert Leslie Bellem,Whitney Ellsworth,Wilton Schiller","Jack Larson,George Reeves,Noel Neill"
Encounters,2012,4.2,"Crime,Horror,Mystery",1h 17m,,Maximillian Decker,,"Tobi Rodriguez,Steve Perse,Pamela Cohen"
Evolutionary,2021,6.4,"Action,Sci-Fi","Evolutionary: Directed by Oliver Crawford. With Tim Bentinck, Louis Bernard, Simon Berry, Pedro Lloyd Gardiner. A military-led government sends out a Special Forces team to track down an unknown creature in an abandoned warehouse.",,Oliver Crawford,,"Simon Berry,Tim Bentinck,Louis Bernard"
Pac-Man,1979,,"Action,Adventure,Fantasy",2h 2m , TV-PG,Gerald Thompson,"Eva Graham,Harold Chapman,David Howman",
Gemini Encounters,1995,5.4,Sci-Fi,1h 32m,,Michael D. O'Connell,"Michael D. O'Connell,Deland Nuse,Mascha Rabben","Jay Ehler,Danny Fendley,Linda Loftin"
Malvineitor,2017,5.5,"Action,Comedy,Sci-Fi",1h 40m,,Pablo Marini,"Pablo Marini,Pablo Parés","Germán Baudino,Vic Cicuta,Andrés Borghi"
Za pyat sekund do katastrofy,1977,,"Drama,Sci-Fi",1h 16m,,Anatoliy Ivanov,,"Aleksandr Movchan,Valentina Talyzina,Pavel Pankov"
Podzemelye vedm,1990,5.6,"Adventure,Fantasy,Romance",1h 25m , Not Rated,Yuriy Moroz,,"Nikolay Karachentsov,Sergey Zhigunov,Marina Levtova"
Rendezvous,2016,4.9,"Drama,Sci-Fi",1h 31m,,"Guillermo Julián,Román Santiago Pidre","Guillermo Julián,Román Santiago Pidre","Alejandro de la Peña,Natalia de Molina,Iñaki Urrutia"
Werewolves from Outer Space,2017,,Sci-Fi,"Werewolves from Outer Space: Directed by Jon Parsons. With Teresa T. Chavez, Dan Condo, John Cusick, Joel Davis. An all female race of highly advanced wolves crash land on a planet of genetically modified monkeys.",,Jon Parsons,"Gregory Isherwood,Renee Ebert","Dan Condo,John Cusick,Teresa T. Chavez"
A Gray Matter,1994,,Sci-Fi,A Gray Matter: Directed by Brian Bacchus.,,Brian Bacchus,,
Dolmen X,2018,,"Comedy,Drama,Sci-Fi",1h 48m,,Naoko Komuro,,"Ren Kiriyama,Arata Horii,Kôdai Asaka"
Merge,2015,7.4,"Drama,Sci-Fi",1h 12m,,Justin Bull,,"Yohtaro Abe,Scott Fielding,James Coyle"
The Teleporter,2021,,"Action,Comedy,Drama",1h 58m,,Jordan Wilson,,"Jordsss the Seventh,Jordan Wilson,Jords Jilson"
Blood Is Sex,1982,5.7,"Sci-Fi,Thriller",50m,,Shigeru Izumiya,,"Tetsuto Hijikata,Sachiko Itô,Izumi Asuka"
Desire Game,2019,3.7,"Crime,Mystery,Sci-Fi",1h 49m,,Tao Guo,"Yue Cai,Huan Shu,Tongzhen Wang","Chao Jiang,Tao Guo,Zifeng Zhang"
Cluster,2015,,Sci-Fi,"Cluster: Directed by Simon Heymans. With Martine Demaret, Alexandre Borras.",,Simon Heymans,,"Martine Demaret,Alexandre Borras"
Live Forever: The Ray Bradbury Odyssey,2013,,"Documentary,Biography,Fantasy",1h 35m,,Michael O'Kelly,,"Clifton Collins Jr.,Ray Bradbury,Scott De Roy"
A Break in the Clouds,2010,6.9,"Action,Sci-Fi,Thriller",1h 38m,,Ben Jacobson,"Ben Jacobson,Aaron Brann","John Monroe,Ben Jacobson,Richard Davenport"
Invasion of the Reptoids,2011,5.1,Sci-Fi,1h 15m,,Ted Moehring,,"Conrad Brooks,Scott Allen Bell,Marnie Beitz"
